Rspeed Rref Lspeed Lref Time
0.0 0.0 -0.0 0.0 1.430000
0.0 0.0 -0.0 0.0 1.434000
0.0 0.0 -0.0 0.0 1.438000
0.0 0.0 -0.0 0.0 1.441000
0.0 0.0 -0.0 0.0 1.444000
0.0 0.0 -0.0 0.0 1.448000
0.0 0.0 -0.0 0.0 1.452000
0.0 0.0 -0.0 0.0 1.456000
0.0 0.0 -0.0 0.0 1.460000
0.0 0.0 -0.0 0.0 1.463000
0.0 0.0 -0.0 0.0 1.467000
0.0 0.0 -0.0 0.0 1.470000
0.0 0.0 -0.0 0.0 1.473000
0.0 0.0 -0.0 0.0 1.476000
0.0 0.0 -0.0 0.0 1.479000
0.0 0.0 -0.0 0.0 1.481000
0.0 0.0 -0.0 0.0 1.484000
0.0 0.0 -0.0 0.0 1.487000
0.0 0.0 -0.0 0.0 1.490000
0.0 0.0 -0.0 0.0 1.493000
0.0 0.0 -0.0 0.0 1.496000
0.0 0.0 -0.0 0.0 1.498000
0.0 0.0 -0.0 0.0 1.501000
0.0 0.0 -0.0 0.0 1.504000
0.0 0.0 -0.0 0.0 1.507000
0.0 0.0 -0.0 0.0 1.510000
0.0 0.0 -0.0 0.0 1.513000
0.0 0.0 -0.0 0.0 1.515000
0.0 0.0 -0.0 0.0 1.518000
0.0 0.0 -0.0 0.0 1.521000
0.0 0.0 -0.0 0.0 1.524000
0.0 0.0 -0.0 0.0 1.527000
0.0 0.0 -0.0 0.0 1.529000
0.0 0.0 -0.0 0.0 1.532000
0.0 0.0 -0.0 0.0 1.535000
0.0 0.0 -0.0 0.0 1.538000
0.0 0.0 -0.0 0.0 1.541000
0.0 0.0 -0.0 0.0 1.544000
0.0 0.0 -0.0 0.0 1.546000
0.0 0.0 -0.0 0.0 1.549000
0.0 0.0 -0.0 0.0 1.552000
0.0 0.0 -0.0 0.0 1.555000
0.0 0.0 -0.0 0.0 1.558000
0.0 0.0 -0.0 0.0 1.560000
0.0 0.0 -0.0 0.0 1.563000
0.0 0.0 -0.0 0.0 1.566000
0.0 0.0 -0.0 0.0 1.569000
0.0 0.0 -0.0 0.0 1.572000
0.0 0.0 -0.0 0.0 1.575000
0.0 0.0 -0.0 0.0 1.577000
0.0 0.0 -0.0 0.0 1.580000
0.0 0.0 -0.0 0.0 1.583000
0.0 0.0 -0.0 0.0 1.586000
0.0 0.0 -0.0 0.0 1.589000
0.0 0.0 -0.0 0.0 1.592000
0.0 0.0 -0.0 0.0 1.595000
0.0 0.0 -0.0 0.0 1.597000
0.0 0.0 -0.0 0.0 1.600000
0.0 0.0 -0.0 0.0 1.603000
0.0 0.0 -0.0 0.0 1.606000
0.0 0.0 -0.0 0.0 1.609000
0.0 0.0 -0.0 0.0 1.612000
0.0 0.0 -0.0 0.0 1.614000
0.0 0.0 -0.0 0.0 1.617000
0.0 0.0 -0.0 0.0 1.620000
0.0 0.0 -0.0 0.0 1.623000
0.0 0.0 -0.0 0.0 1.626000
0.0 0.0 -0.0 0.0 1.628000
0.0 0.0 -0.0 0.0 1.632000
0.0 0.0 -0.0 0.0 1.636000
0.0 0.0 -0.0 0.0 1.640000
0.0 0.0 -0.0 0.0 1.643000
0.0 0.0 -0.0 0.0 1.647000
0.0 0.0 -0.0 0.0 1.651000
0.0 0.0 -0.0 0.0 1.654000
0.0 0.0 -0.0 0.0 1.658000
0.0 0.0 -0.0 0.0 1.662000
0.0 0.0 -0.0 0.0 1.666000
0.0 0.0 -0.0 0.0 1.670000
0.0 0.0 -0.0 0.0 1.674000
0.0 0.0 -0.0 0.0 1.678000
0.0 0.0 -0.0 0.0 1.681000
0.0 0.0 -0.0 0.0 1.686000
0.0 0.0 -0.0 0.0 1.692000
0.0 0.0 -0.0 0.0 1.696000
0.0 0.0 -0.0 0.0 1.700000
0.0 0.0 -0.0 0.0 1.704000
0.0 0.0 -0.0 0.0 1.710000
0.0 0.0 -0.0 0.0 1.716000
0.0 0.0 -0.0 0.0 1.722000
0.0 0.0 -0.0 0.0 1.725000
0.0 0.0 -0.0 0.0 1.729000
0.0 0.0 -0.0 0.0 1.734000
0.9 0.0 -0.0 0.0 1.740000
0.0 0.0 -0.0 0.0 1.745000
0.0 0.0 -0.0 0.0 1.751000
0.0 0.0 -0.0 0.0 1.755000
0.0 0.0 -0.0 0.0 1.761000
0.0 0.0 -0.0 0.0 1.767000
0.0 0.0 -0.0 0.0 1.773000
0.0 0.0 -0.0 0.0 1.777000
0.0 0.0 -0.0 0.0 1.781000
0.0 0.0 -0.0 0.0 1.786000
0.0 0.0 -0.0 0.0 1.791000
0.0 0.0 -0.0 0.0 1.797000
0.0 0.0 -0.0 0.0 1.803000
0.0 0.0 -0.0 0.0 1.808000
0.0 0.0 -0.0 0.0 1.814000
0.0 0.0 -0.0 0.0 1.820000
0.0 0.0 -0.0 0.0 1.825000
0.0 0.0 -0.0 0.0 1.831000
0.0 0.0 -0.0 0.0 1.837000
0.0 0.0 -0.0 0.0 1.842000
0.0 0.0 -0.0 0.0 1.848000
0.0 0.0 -0.0 0.0 1.854000
0.0 0.0 -0.0 0.0 1.859000
0.0 0.0 -0.0 0.0 1.863000
0.0 0.0 -0.0 0.0 1.867000
0.0 0.0 -0.0 0.0 1.873000
0.0 0.0 -0.0 0.0 1.878000
0.0 0.0 -0.0 0.0 1.884000
0.0 0.0 -0.0 0.0 1.889000
0.0 0.0 -0.0 0.0 1.894000
0.0 0.0 -0.0 0.0 1.900000
0.0 0.0 -0.0 0.0 1.906000
0.0 0.0 -0.0 0.0 1.910000
0.0 0.0 -0.0 0.0 1.916000
0.0 0.0 -0.0 0.0 1.921000
0.0 0.0 -0.0 0.0 1.926000
0.0 0.0 -0.0 0.0 1.931000
0.0 0.0 -0.0 0.0 1.935000
0.0 0.0 -0.0 0.0 1.938000
0.0 0.0 -0.0 0.0 1.943000
0.0 0.0 -0.0 0.0 1.947000
0.0 0.0 -0.0 0.0 1.953000
0.0 0.0 -0.0 0.0 1.958000
0.0 0.0 -0.0 0.0 1.964000
0.0 0.0 -0.0 0.0 1.969000
0.0 0.0 -0.0 0.0 1.975000
0.0 0.0 -0.0 0.0 1.980000
0.0 0.0 -0.0 0.0 1.984000
0.0 0.0 -0.0 0.0 1.987000
0.0 0.0 -0.0 0.0 1.992000
0.0 0.0 -0.0 0.0 1.995000
0.0 0.0 -0.0 0.0 2.000000
0.0 0.0 -0.0 0.0 2.005000
0.0 0.0 -0.0 0.0 2.010000
0.0 0.0 -0.0 0.0 2.016000
0.0 0.0 -0.0 0.0 2.021000
0.0 0.0 -0.0 0.0 2.027000
0.0 0.0 -0.0 0.0 2.031000
0.0 0.0 -0.0 0.0 2.037000
0.0 0.0 -0.0 0.0 2.042000
0.0 0.0 -0.0 0.0 2.048000
0.0 0.0 -0.0 0.0 2.053000
0.0 0.0 -0.0 0.0 2.058000
0.0 0.0 -0.0 0.0 2.064000
0.0 0.0 -0.0 0.0 2.070000
0.0 0.0 -0.0 0.0 2.076000
