X Y Theta dr dl Time
-2.751128 -1.247637 0.108032 -0.013461 -0.006213 18.973000
-2.759441 -1.248450 0.086983 -0.010700 -0.006006 19.025000
-2.768479 -1.249293 0.099055 -0.007731 -0.010423 19.081000
-2.776847 -1.250245 0.127534 -0.005246 -0.011597 19.129000
-2.785534 -1.251428 0.143011 -0.007041 -0.010492 19.184000
-2.794002 -1.252671 0.148583 -0.007938 -0.009181 19.233000
-2.800586 -1.253687 0.157560 -0.005660 -0.007662 19.282000
-2.805761 -1.254547 0.171799 -0.003659 -0.006834 19.339000
-2.814880 -1.256097 0.164989 -0.010009 -0.008491 19.385000
-2.826040 -1.257780 0.134344 -0.014703 -0.007869 19.443000
-2.836656 -1.259115 0.115771 -0.012770 -0.008629 19.492000
-2.842516 -1.259823 0.124748 -0.004901 -0.006903 19.541000
-2.848398 -1.260622 0.145178 -0.003659 -0.008214 19.596000
-2.857825 -1.261994 0.143940 -0.009664 -0.009388 19.645000
-2.868218 -1.263435 0.131558 -0.011873 -0.009112 19.700000
-2.877184 -1.264610 0.129081 -0.009319 -0.008767 19.750000
-2.883305 -1.265448 0.143011 -0.004625 -0.007731 19.798000
-2.889348 -1.266340 0.150131 -0.005315 -0.006903 19.853000
-2.899148 -1.267787 0.143011 -0.010700 -0.009112 19.902000
-2.909569 -1.269279 0.141463 -0.010700 -0.010354 19.957000
-2.917972 -1.270489 0.144559 -0.008145 -0.008836 20.003000
-2.923260 -1.271300 0.159727 -0.003659 -0.007041 20.060000
-2.930147 -1.272385 0.152917 -0.007731 -0.006213 20.111000
-2.940298 -1.273816 0.127224 -0.013116 -0.007386 20.160000
-2.950278 -1.274944 0.097817 -0.013323 -0.006765 20.210000
-2.959764 -1.275816 0.085435 -0.010907 -0.008145 20.265000
-2.968255 -1.276584 0.095031 -0.007455 -0.009595 20.314000
-2.976835 -1.277493 0.116080 -0.006282 -0.010976 20.368000
-2.985095 -1.278476 0.120724 -0.007800 -0.008836 20.417000
-2.994152 -1.279472 0.098436 -0.011597 -0.006627 20.466000
-3.002197 -1.280181 0.077387 -0.010423 -0.005729 20.522000
-3.010730 -1.280856 0.080482 -0.008214 -0.008905 20.571000
-3.018398 -1.281521 0.092555 -0.006351 -0.009043 20.626000
-3.025477 -1.282191 0.096269 -0.006696 -0.007524 20.676000
-3.032557 -1.282842 0.086983 -0.008145 -0.006075 20.725000
-3.040873 -1.283622 0.099984 -0.006903 -0.009802 20.780000
-3.049485 -1.284560 0.117009 -0.006765 -0.010561 20.828000
-3.059009 -1.285724 0.126295 -0.008560 -0.010630 20.883000
-3.067570 -1.286806 0.125057 -0.008767 -0.008491 20.932000
-3.074489 -1.287660 0.120724 -0.007455 -0.006489 20.987000
-3.080584 -1.288432 0.131248 -0.004970 -0.007317 21.037000
-3.089279 -1.289550 0.124438 -0.009526 -0.008007 21.085000
-3.099737 -1.290755 0.104937 -0.012701 -0.008353 21.140000
