Rspeed Rref Lspeed Lref Time
0.9 0.0 27.2 30.0 4.769
-0.0 0.0 26.3 30.0 4.780
0.9 0.0 32.4 30.0 4.791
-0.0 0.0 34.2 30.0 4.802
-0.0 0.0 26.3 30.0 4.813
-0.0 0.0 26.3 30.0 4.824
-0.0 0.0 34.2 30.0 4.836
-0.0 0.0 38.6 30.0 4.847
-0.0 0.0 29.8 30.0 4.858
-0.0 0.0 27.2 30.0 4.869
-0.0 0.0 26.3 30.0 4.880
-0.0 0.0 28.0 30.0 4.891
-0.0 0.0 35.1 30.0 4.902
-0.0 0.0 29.8 30.0 4.913
-0.0 0.0 27.2 30.0 4.924
-0.0 0.0 26.3 30.0 4.935
-0.0 0.0 25.4 30.0 4.946
-0.0 0.0 32.4 30.0 4.957
-0.9 0.0 34.2 30.0 4.968
-0.0 0.0 30.7 30.0 4.979
-0.0 0.0 28.9 30.0 4.990
-0.0 0.0 27.2 0.0 5.001
-0.0 0.0 27.2 0.0 5.012
-0.0 0.0 1.8 0.0 5.023
-0.0 0.0 -0.0 0.0 5.034
-0.0 0.0 4.4 0.0 5.045
0.9 0.0 4.4 0.0 5.056
0.9 0.0 5.3 0.0 5.067
-0.0 0.0 5.3 0.0 5.078
-0.0 0.0 7.0 0.0 5.089
-0.0 0.0 5.3 0.0 5.100
-0.0 0.0 6.1 0.0 5.111
-0.0 0.0 7.0 0.0 5.122
-0.0 0.0 4.4 0.0 5.133
-0.0 0.0 7.0 0.0 5.145
-0.0 0.0 6.1 0.0 5.156
-0.0 0.0 -0.0 0.0 5.167
-0.9 0.0 -0.0 0.0 5.178
-0.0 0.0 6.1 0.0 5.189
-0.0 0.0 6.1 0.0 5.200
-0.0 0.0 -0.0 0.0 5.211
-0.0 0.0 -0.0 0.0 5.222
-0.9 0.0 3.5 0.0 5.233
-0.0 0.0 5.3 0.0 5.244
-0.0 0.0 -0.0 0.0 5.255
0.9 0.0 -0.0 0.0 5.266
-0.0 0.0 5.3 0.0 5.277
-0.0 0.0 4.4 0.0 5.289
-0.0 0.0 -0.0 0.0 5.300
-0.9 0.0 -0.0 0.0 5.311
-0.0 0.0 5.3 0.0 5.322
-0.0 0.0 6.1 0.0 5.333
-0.0 0.0 -0.0 0.0 5.344
-0.0 0.0 -0.0 0.0 5.355
-0.0 0.0 -0.0 0.0 5.366
0.9 0.0 -0.0 0.0 5.377
-0.0 0.0 -0.0 0.0 5.388
0.9 0.0 -0.0 0.0 5.399
-0.9 0.0 -0.0 0.0 5.410
-0.0 0.0 -0.0 0.0 5.421
-0.0 0.0 -0.0 0.0 5.432
0.9 0.0 -0.0 0.0 5.443
-0.0 0.0 -0.0 0.0 5.455
0.9 0.0 -0.0 0.0 5.466
-0.9 0.0 -0.0 0.0 5.477
-0.0 0.0 -0.0 0.0 5.488
0.9 0.0 -0.0 0.0 5.499
-0.0 0.0 -0.0 0.0 5.510
-0.9 0.0 -0.0 0.0 5.521
-0.0 0.0 -0.0 0.0 5.532
-0.0 0.0 -0.0 0.0 5.543
-0.0 0.0 -0.0 0.0 5.554
-0.9 0.0 -0.0 0.0 5.565
-0.0 0.0 -0.0 0.0 5.576
-0.0 0.0 -0.0 0.0 5.587
-0.0 0.0 -0.0 0.0 5.598
-0.0 0.0 -0.0 0.0 5.609
-0.0 0.0 -0.0 0.0 5.620
-0.0 0.0 -0.0 0.0 5.631
-0.9 0.0 -0.0 0.0 5.642
-0.0 0.0 -0.0 0.0 5.653
-0.0 0.0 -0.0 0.0 5.664
0.9 0.0 -0.0 0.0 5.675
-0.0 0.0 -0.0 0.0 5.686
-0.0 0.0 -0.0 0.0 5.697
-0.0 0.0 -0.0 0.0 5.708
0.9 0.0 -0.0 0.0 5.719
-0.0 0.0 -0.0 0.0 5.730
-0.0 0.0 -0.0 0.0 5.741
-0.0 0.0 -0.0 0.0 5.752
-0.0 0.0 -0.0 0.0 5.763
-0.0 0.0 -0.0 0.0 5.774
-0.0 0.0 -0.0 0.0 5.785
-0.9 0.0 -0.0 0.0 5.796
0.9 0.0 -0.0 0.0 5.807
-0.9 0.0 -0.0 0.0 5.818
-0.0 0.0 -0.0 0.0 5.829
-0.9 0.0 -0.0 0.0 5.840
-0.0 0.0 -0.0 0.0 5.851
-0.0 0.0 -0.0 0.0 5.863
-0.0 0.0 -0.0 0.0 5.874
-0.0 0.0 -0.0 0.0 5.885
0.9 0.0 -0.0 0.0 5.896
-0.0 0.0 -0.0 0.0 5.907
-0.0 0.0 -0.0 0.0 5.918
0.9 0.0 -0.0 0.0 5.929
-0.0 0.0 -0.0 0.0 5.940
-0.0 0.0 -0.0 0.0 5.951
-0.0 0.0 -0.0 0.0 5.962
-0.0 0.0 -0.0 0.0 5.973
-0.9 0.0 -0.0 0.0 5.984
-0.0 0.0 -0.0 0.0 5.995
-0.0 0.0 -0.0 0.0 6.006
-0.0 0.0 -0.0 0.0 6.017
-0.0 0.0 -0.0 0.0 6.029
0.9 0.0 -0.0 0.0 6.040
-0.0 0.0 -0.0 0.0 6.051
-0.0 0.0 -0.0 0.0 6.062
-0.0 0.0 -0.0 0.0 6.073
-0.9 0.0 -0.0 0.0 6.084
-0.9 0.0 -0.0 0.0 6.095
-0.0 0.0 -0.0 0.0 6.106
-0.0 0.0 -0.0 0.0 6.117
-0.9 0.0 -0.0 0.0 6.128
0.9 0.0 -0.0 0.0 6.139
-0.0 0.0 -0.0 0.0 6.150
-0.0 0.0 -0.0 0.0 6.161
-0.0 0.0 -0.0 0.0 6.172
0.9 0.0 -0.0 0.0 6.183
-0.9 0.0 -0.0 0.0 6.194
-0.0 0.0 -0.0 0.0 6.205
-0.0 0.0 -0.0 0.0 6.217
-0.0 0.0 -0.0 0.0 6.228
-0.9 0.0 -0.0 0.0 6.239
0.9 0.0 -0.0 0.0 6.250
0.9 0.0 -0.0 0.0 6.261
-0.0 0.0 -0.0 0.0 6.272
-0.0 0.0 -0.0 0.0 6.283
0.9 0.0 -0.0 0.0 6.294
-0.9 0.0 -0.0 0.0 6.305
-0.9 0.0 -0.0 0.0 6.316
-0.9 0.0 -0.0 0.0 6.327
-0.0 0.0 -0.0 0.0 6.338
-0.0 0.0 -0.0 0.0 6.349
-0.0 0.0 -0.0 0.0 6.360
0.9 0.0 -0.0 0.0 6.371
0.9 0.0 -0.0 0.0 6.382
-0.9 0.0 -0.0 0.0 6.393
-0.0 0.0 -0.0 0.0 6.404
-0.0 0.0 -0.0 0.0 6.416
-0.0 0.0 -0.0 0.0 6.427
-0.9 0.0 -0.0 0.0 6.438
-0.0 0.0 -0.0 0.0 6.449
-0.0 0.0 -0.0 0.0 6.460
-0.0 0.0 -0.0 0.0 6.471
-0.0 0.0 -0.0 0.0 6.482
-0.0 0.0 -0.0 0.0 6.493
-0.0 0.0 -0.0 0.0 6.504
-0.0 0.0 -0.0 0.0 6.515
0.9 0.0 -0.0 0.0 6.526
-0.0 0.0 -0.0 0.0 6.537
-0.0 0.0 -0.0 0.0 6.548
-0.0 0.0 -0.0 0.0 6.559
-0.0 0.0 -0.0 0.0 6.570
0.9 0.0 -0.0 0.0 6.582
-0.0 0.0 -0.0 0.0 6.593
0.9 0.0 -0.0 0.0 6.604
0.9 0.0 -0.0 0.0 6.615
0.9 0.0 -0.0 0.0 6.626
-0.9 0.0 -0.0 0.0 6.637
0.9 0.0 -0.0 0.0 6.648
-0.0 0.0 -0.0 0.0 6.659
-0.0 0.0 -0.0 0.0 6.670
-0.9 0.0 -0.0 0.0 6.681
-0.0 0.0 -0.0 0.0 6.692
-0.0 0.0 -0.0 0.0 6.703
0.9 0.0 -0.0 0.0 6.714
-0.0 0.0 -0.0 0.0 6.725
-0.9 0.0 -0.0 0.0 6.736
0.9 0.0 -0.0 0.0 6.747
-0.9 0.0 -0.0 0.0 6.758
0.9 0.0 -0.0 0.0 6.769
-0.0 0.0 -0.0 0.0 6.780
-0.0 0.0 -0.0 0.0 6.792
-0.0 0.0 -0.0 0.0 6.803
-0.0 0.0 -0.0 0.0 6.814
-0.9 0.0 -0.0 0.0 6.825
0.9 0.0 -0.0 0.0 6.836
-0.0 0.0 -0.0 0.0 6.847
-0.0 0.0 -0.0 0.0 6.858
-0.0 0.0 -0.0 0.0 6.869
-0.9 0.0 -0.0 0.0 6.880
-0.0 0.0 -0.0 0.0 6.891
-0.9 0.0 -0.0 0.0 6.902
0.9 0.0 -0.0 0.0 6.913
-0.0 0.0 -0.0 0.0 6.924
-0.0 0.0 -0.0 0.0 6.935
-0.0 0.0 -0.0 0.0 6.946
-0.0 0.0 -0.0 0.0 6.958
-0.0 0.0 -0.0 0.0 6.969
-0.9 0.0 -0.0 0.0 6.980
-0.9 0.0 -0.0 0.0 6.991
-0.9 0.0 -0.0 0.0 7.002
0.9 0.0 -0.0 0.0 7.013
-0.9 0.0 -0.0 0.0 7.024
-0.0 0.0 -0.0 0.0 7.035
0.9 0.0 -0.0 0.0 7.046
-0.0 0.0 -0.0 0.0 7.057
0.9 0.0 -0.0 0.0 7.068
-0.0 0.0 -0.0 0.0 7.079
-0.9 0.0 -0.0 0.0 7.090
-0.0 0.0 -0.0 0.0 7.101
-0.0 0.0 -0.0 0.0 7.113
-0.0 0.0 -0.0 0.0 7.124
-0.0 0.0 -0.0 0.0 7.135
-0.0 0.0 -0.0 0.0 7.146
-0.0 0.0 -0.0 0.0 7.157
0.9 0.0 -0.0 0.0 7.168
-0.0 0.0 -0.0 0.0 7.179
-0.0 0.0 -0.0 0.0 7.190
-0.0 0.0 -0.0 0.0 7.201
0.9 0.0 -0.0 0.0 7.212
-0.0 0.0 -0.0 0.0 7.223
-0.9 0.0 -0.0 0.0 7.234
-0.9 0.0 -0.0 0.0 7.245
-0.0 0.0 -0.0 0.0 7.256
-0.0 0.0 -0.0 0.0 7.267
-0.0 0.0 -0.0 0.0 7.278
-0.0 0.0 -0.0 0.0 7.289
